"tp_uso";"nm_uso";"APL-E";"APL-P";"ARR";"ARP";"ARM";"ATR";"AMC";"AMS";"ZEIS";"ARC";"ATL";"APT";"AUE"
Industriais;Fábrica de produtos farmoquímicos;P;P;P;P;P;P;P;A;P;P;P;A;P
Industriais;Fábrica de produtos farmacêuticos;P;P;P;A-pp;A-m;P;A-m;A;A-5-p;P;P;A;P
Industriais;Fábrica de produtos de borracha e de material plástico;P;P;P;P;P;P;P;A;P;P;P;A;P
Industriais;Fábrica de produtos de minerais não-metálicos (vidro e produtos do vidro cimento artefatos de concreto);P;P;P;P;P;P;A;A;P;P;P;P;P
Industriais;Metalurgia;P;P;P;P;P;P;P;A;P;P;P;P;P
Industriais;Fábrica de produtos de metal exceto máquinas e equipamentos;P;P;P;P;P;P;A-1;A;P;P;P;P;P
Industriais;Fábrica de equipamentos de informática produtos eletrônicos e ópticos;A-p;A-p;A-p;A-p;A-p;A-p;A;A;A-p;P;P;A;A-p
Industriais;Fábrica de máquinas aparelhos e materiais elétricos;P;P;P;P;P;P;A-p;A;P;P;P;A;P
Industriais;Fábrica de máquinas e equipamentos;P;P;P;P;P;P;A-p;A;P;P;P;A;P
Industriais;Fábrica de veículos automotores reboques e carrocerias;P;P;P;P;P;P;P;A;P;P;P;A;P
Industriais;Fábrica de outros equipamentos de transporte exceto veículos automotores e embarcações;P;P;P;P;P;P;P;A;P;P;P;A;P
Industriais;Construção de embarcações;A-p;A-p;A-p;A-p;A-p;A-p;A-p;A;A-p;A-6;P;A;A-p
Industriais;Fábrica de móveis;A-p;A-p;A-p;A-p;A-m;A-p;A-m;A;A-m;P;P;A;P
Industriais;Fábrica de produtos diversos;A-p;A-p;A-pp;A-pp;A-p;A-p;A;A;A-p;A-pp;P;A;A-p
Complexo de múltiplo uso;Complexo de múltiplo uso;De acordo com adequação de cada uso para o zoneamento em questão.;"";"";"";"";"";"";"";"";"";"";"";""
Agricultura, pesca e serviços relacionados;Produção de lavouras temporárias;A;A;A;A-7;A-7;A-7;A-7;A-7;A-5-12;A-7;P;A;A
Agricultura, pesca e serviços relacionados;Horticultura e floricultura;A;A;A;A-p;A-7;A;A;A;A;A-7;A;A;A
Agricultura, pesca e serviços relacionados;Produção de lavouras permanentes;A;A;A;P;A-7;P;P;P;P;A-7;P;A;A
Agricultura, pesca e serviços relacionados;Produção de sementes e mudas certificadas;A;A;A;P;A-7;P;P;P;P;A-7;P;A;A
Agricultura, pesca e serviços relacionados;Pecuária;A-7;A-7;A-7;P;A-7;P;P;P;P;P;P;A;A
Agricultura, pesca e serviços relacionados;"Atividades de apoio à agricultura e à pecuária; atividades de pós colheita";A-7;A;A;P;P;P;P;P;P;A-7;P;A;A
Agricultura, pesca e serviços relacionados;Caça e serviços relacionados;P;P;P;P;P;P;P;P;P;P;P;A;A
Agricultura, pesca e serviços relacionados;Produção florestal;A;A;A;P;P;P;P;P;P;P;P;A;A
Agricultura, pesca e serviços relacionados;Pesca e aquicultura;A;A;A;A;A;A;A;A;A;A;A;A;A
Equipamentos;Geração transmissão e distribuição de energia elétrica e produção e distribuição combustíveis gasosos por redes urbanas (não inclui comércio);A;A;A;A;A;A;A;A;A;A;A;A;A
Equipamentos;Captação tratamento e distribuição de água;A-5;A-5;A-5;A-5;A-5;A-5;A-5;A-5;A-5;A-5;A-5;A-5;A-5
Equipamentos;Esgoto e atividades relacionadas;A-5;A-5;A-5;A-5;A-5;A-5;A-5;A-5;A-5;A-5;A-5;A-5;A-5
Equipamentos;Coleta tratamento e disposição de resíduos recuperação de materiais;De acordo com regulamentação espefícifa do órgão;"";"";"";"";"";"";"";"";"";"";"";""
Equipamentos;Descontaminação e outros serviços de gestão de resíduos;P;A;P;A;A;A;A;A;A;A;A;A;A
